,original_length,steered_length
0,6007,8340
1,8311,8311
2,4728,3945
3,8340,8340
4,8300,8300
5,8329,1236
6,1434,2200
7,8320,8320
8,2104,2473
9,8311,1201
10,8279,969
11,7449,8355
12,4567,8280
13,8309,8309
14,1008,838
15,8302,8302
16,824,8287
17,5053,8246
18,2158,8328
19,4381,8320
20,2001,1407
21,8318,8318
22,2131,1866
23,8384,4959
24,8252,8252
25,8586,8586
26,8284,1233
27,3099,2012
28,719,654
29,659,8443
30,5766,8317
31,5022,8326
32,1478,1913
33,2103,8369
34,8299,8299
35,3627,3034
36,8295,8295
37,8414,5701
38,3472,1463
39,8353,8353
40,4466,3291
41,1492,8311
42,5565,8308
43,1231,933
44,791,1061
45,2303,1677
46,8308,2989
47,8361,8361
48,2116,1743
49,2760,1444
50,1989,1790
51,8358,8358
52,8337,2749
53,8328,2105
54,8417,8417
55,8376,8376
56,8363,8363
57,8305,8305
58,8362,8362
